Country,EF2013,EF2009,GDP2013,GDP2009,EFDelta,GDPDelta,DDelta,EFDelta_P,GDPDelta_P,DDelta_P,DDelta_Rank,EFDelta_Rank,GDPDelta_Rank,Dec_Flag,GDP_std
Hungary,32381414.13,33681433.15,1.33E+11,1.29E+11,-1300019.022,3779000000,3780300019,-3.85974972,2.92080815,6.78055787,87,30,21,1,45.82064403
India,1360535262,1195909973,1.99E+12,1.50E+12,164625288.8,4.87E+11,4.87E+11,13.76569244,32.43056156,18.66486912,37,103,136,0,336.5821544
Indonesia,363759395.5,339496620,8.97E+11,7.11E+11,24262775.5,1.86E+11,1.86E+11,7.146691328,26.22346142,19.0767701,34,75,117,0,165.4934031
Iran (Islamic Republic of),231761935.1,226085992.7,4.45E+11,4.39E+11,5675942.322,5672000000,5666324058,2.510523652,1.292259883,-1.218263769,125,57,15,0,94.59682244
Iraq,64839766.48,48653218.64,1.81E+11,1.30E+11,16186547.84,50704000000,50687813452,33.26922307,38.94854895,5.679325882,92,152,147,0,53.29528734
Ireland,22439331.47,23961886.44,2.21E+11,2.17E+11,-1522554.975,4286000000,4287522555,-6.354069739,1.97561594,8.329685679,79,23,18,1,59.61408219
Israel,46581900.09,37628978.48,2.62E+11,2.22E+11,8952921.604,40908000000,40899047078,23.79262464,18.4658719,-5.326752734,133,142,91,0,66.0683525
Italy,269332703.4,303803797.4,2.04E+12,2.09E+12,-34471094.01,-48650000000,-48615528906,-11.34649873,-2.327818023,9.018680706,75,12,9,0,344.6699612
Jamaica,5237173.706,4133274.635,13404030752,13388911184,1103899.07,15119568,14015668.93,26.70761485,0.112926046,-26.5946888,149,145,11,0,27.06442341
Japan,633212871.7,585433231,5.89E+12,5.47E+12,47779640.78,4.23E+11,4.23E+11,8.161415897,7.740986154,-0.420429743,121,81,41,0,948.1152611
Jordan,14819284.68,13317566.99,28607718021,25821963958,1501717.68,2785754063,2784252345,11.27621645,10.7883121,-0.487904346,122,93,55,0,29.4456102
Kenya,44920500.74,40997147.94,46904248573,36899279533,3923352.795,10004969040,10001045687,9.569818858,27.11426664,17.54444778,40,88,120,0,32.3111951
Korea (Republic of),291752674.2,269778293.3,1.19E+12,1.03E+12,21974380.91,1.67E+11,1.67E+11,8.145348034,16.22021348,8.074865447,80,80,80,0,212.0355676
Lao People's Democratic Republic,9633377.862,7672255.82,9023960565,6567765473,1961122.042,2456195092,2454233970,25.56121808,37.39772838,11.83651029,64,144,145,0,26.37842106
Latvia,13131644.89,11301153.17,27011449391,24701165872,1830491.714,2310283519,2308453027,16.19738876,9.3529331,-6.844455658,138,114,49,0,29.19560415
Lebanon,17872523.29,17782470.76,39972859919,35207296849,90052.53229,4765563070,4765473017,0.506411811,13.53572554,13.02931372,53,48,71,0,31.22560772
Lesotho,2976379.322,3232213.448,2754054731,2251474530,-255834.1267,502580201,502836035.1,-7.915137128,22.322269,30.23740613,13,18,106,1,25.39643448
Liberia,4876851.37,4376117.746,1641989954,1218376790,500733.624,423613164,423112430.4,11.44241662,34.76865018,23.32623357,23,95,142,0,25.22226397
Lithuania,18324727.42,14614025.02,42336907128,36533481055,3710702.403,5803426073,5799715371,25.39137847,15.88522611,-9.50615236,141,143,78,0,31.59586251
Luxembourg,7133413.074,6907213.063,55554172185,49539470199,226200.0111,6014701986,6014475786,3.274837608,12.14123195,8.866394346,76,59,62,0,33.66593777
The former Yugoslav Republic of Macedonia,6341191.867,7249968.245,9863707082,9101472088,-908776.3776,762234994,763143770.4,-12.53490149,8.374853943,20.90975543,27,10,44,1,26.50994135
Madagascar,21805557.68,21084627.39,9330835549,8707027002,720930.2921,623808547,623087616.7,3.41922235,7.164426467,3.745204117,101,60,38,0,26.42648352
Malawi,13342429.22,11391973.1,7819248708,6509956216,1950456.118,1309292492,1307342036,17.12131956,20.11215511,2.990835554,106,118,98,0,26.18974025
Malaysia,124168292.2,100852163.8,2.97E+11,2.38E+11,23316128.44,58131000000,58107683872,23.11911571,24.38626372,1.267148007,114,138,114,0,71.40373645
Mali,21590256.53,22133379.16,11184422458,10130347923,-543122.629,1054074535,1054617658,-2.453862219,10.40511681,12.85897903,55,36,53,1,26.71679051
Mauritania,9412264.151,8160246.223,5097687376,4140153157,1252017.928,957534219,956282201.1,15.342894,23.12799026,7.78509626,82,109,110,0,25.76349195
Mauritius,4211635.018,3971349.928,11137678212,9584152843,240285.0904,1553525369,1553285084,6.050463817,16.20931338,10.15884956,71,74,79,0,26.70946947
Mexico,316517298.8,326333302.2,1.15E+12,1.00E+12,-9816003.424,1.53E+11,1.53E+11,-3.00796865,15.30254092,18.31050957,38,33,77,1,205.5562383
Moldova,7071813.732,6370821.152,6742700074,5426334311,700992.5797,1316365763,1315664770,11.00317468,24.25884009,13.25566541,52,91,111,0,26.02113225
Mongolia,21380936.89,17419751.33,10574804920,6759244981,3961185.558,3815559939,3811598753,22.73962172,56.44949916,33.70987744,7,137,154,0,26.6213128
Montenegro,2270989.143,2141877.818,4303726737,4039451560,129111.3254,264275177,264146065.7,6.027950071,6.542352918,0.514402847,116,73,34,0,25.63914261
Morocco,56761318.72,56764179.29,1.06E+11,89790590993,-2860.56945,15852409007,15852411868,-0.005039392,17.65486654,17.65990593,39,45,87,1,41.5108015
Mozambique,22204123.85,18641696.16,12492636703,9517718743,3562427.687,2974917960,2971355532,19.10999759,31.25662819,12.1466306,61,127,130,0,26.92168176
Myanmar,76533872.04,79259177.48,60877582017,45187272895,-2725305.437,15690309122,15693034427,-3.438473025,34.7228503,38.16132332,3,31,141,1,34.49968506
